STATUS OF PROCUREMENT AND CONTRACT - PANGASINAN IRRIGATION MANAGEMENT OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,
CY 2026 PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,
"as of March 25, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
No. of Proj.,Name of Project,Municipality,Allocation and ABC,,BID-OUT,For Bidding,Date of Bidding,AWARDED,Date of Award,Contract No.,Contract Amount,Name of Contractor,Remarks,Project Description,,,,,,,,,,,
,,,FY 2026 (Allocation),Approved Budget of the Contract,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PANGASINAN IMO,,,,,,,,,,,,,,,,,,,,,,,,,
General Appropriations Act CY 2026,,,,,,,,,,,,,,,,,,,,,,,,,
5,SORIANO CIS (REPAIR CIS CY 2026),MANGATAREM,"50000000.00","47383447.72",1,,5-Jan-26,,,R1-PIMO-26-12-021,"46692134.16",AMP 723 CONSTRUCTION CORPORATION,Waiting for the SARO/ASA - For Award,"Repair CIS - Repair of Dam and Construction of Canal Lining, Structures 
(Sta. 0+063 - 1+929.5), and Slope Protection",,,,,,,,,,,
6,NANGALISAN - CAGARLITAN CIS (REPAIR CIS CY 2026),MANGATAREM,"50000000.00","47128251.25",1,,5-Jan-26,,,R1-PIMO-26-12-022,"47074014.52",RIVBROS CONSTRUCTION FACTORS & DEVELOPERS,Waiting for the SARO/ASA - For Award,"Repair CIS - Construction of Canal Lining (Sta. 0+240.3 - 1+429), Structures 
and Slope Protection",,,,,,,,,,,
7,DONA RUFINA CIS (REPAIR CIS CY 2026),AGUILAR,"30000000.00","28413752.99",,1,,,,R1-PIMO-26-03-044,,,"For Posting (PhilGeps)
- March 24, 2026","Repair CIS - Rehabilitation of Dam and Construction of Canal Lining

New: Construction of Canal Lining, Canal Structure and Embankment Protection",,,,,,,,,,,
8,PRINCIPAL CIS (REPAIR CIS CY 2026),NATIVIDAD,"50000000.00","47356222.33",1,,15-Jan-26,,,R1-PIMO-26-12-027,,RIVBROS CONSTRUCTION FACTORS & DEVELOPMENT,Bidded,Repair CIS - Repair of Dam (Continuation) and Construction of Canal Lining,,,,,,,,,,,
9,BOLAOIT CIS (REPAIR CIS CY 2026),AGUILAR,"40000000.00","37920895.83",,1,,,,R1-PIMO-26-03-045,,,"For Posting (PhilGeps)
- March 24, 2026","Repair CIS - Repair of Dam and Slope Protection

New: Construction of Embankment Protection of Dam",,,,,,,,,,,
10,TOBUAN CIS (REPAIR CIS CY 2026),LABRADOR,"10000000.00",,,,,,,,,,,Repair CIS - Construction of Embankment Protection and Canal Lining and Structures @ Lateral A (Sta 0+000-0+267) and Lateral B (Sta 0+000-0+540),,,,,,,,,,,
11,SAN JOSE IRRIGATION PROJECT (REPAIR CIS CY 2026),LINGAYEN,"22000000.00",,,,,,,,,,,"Repair CIS - Construction of Intake Structure and Proc./Inst. Of Steelgates Irrigation Gate, San Jose River, Barangay San Jose (Lat. 16-01-14.31 120-13-23.72)",,,,,,,,,,,
12,SALPAD IRRIGATION PROJECT (REPAIR CIS CY 2026),SAN NICOLAS,"10000000.00",,,,,,,,,,,"Repair CIS - Construction/Rehabilitation of Irrigation Canal Lining, Barangay Salpad, San Nicolas",,,,,,,,,,,
13,VARGAS CIS (REPAIR CIS CY 2026),AGUILAR,"80000000.00","75747910.31",,,,,,,,,C/O Regional Office No. 1,Repair CIS - Modification of Dam and Slope Protection,,,,,,,,,,,
1,Service Road of Communal Irrigation Systems,,"50000000.00","48066643.55",1,0,,0,,,0,,,,,,,,,,,,,,
1,CALSIB CIS (ISRCIS CY 2026),AGUILAR,"50000000.00","48066643.55",1,,15-Jan-26,,,R1-PIMO-26-12-026,,J.C. BAAK CONSTRUCTION CORPORATION,Bidded,Service Road CIS - Concreting of Service Road and Embankment Protection,,,,,,,,,,,
7,Small Irrigation Project (SIP),,"180000000.00","23473738.63",0,1,,0,,,0,,,,,,,,,,,,,,
1,PAMPANO SIP (SIP CY 2026),MANGATAREM,"25000000.00",,,,,,,,,,,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
2,ATEL-BATANG SIP (SIP CY 2026),INFANTA,"15000000.00",,,,,,,,,,,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
3,DORONGAN-PUNTA SIP (SIP CY 2026),MANGATAREM,"50000000.00",,,,,,,,,,,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
4,CABINGUANGAN SIP (SIP CY 2026),MABINI,"25000000.00",,,,,,,,,,,SIP - Construction of Intake Structure with Solar Pump and Canal Lining,,,,,,,,,,,
